Neighborhood,ID,1st Most Common Food,2nd Most Common Food,3rd Most Common Food,4th Most Common Food,5th Most Common Food
Newtonbrook West,36,Korean Restaurant,Middle Eastern Restaurant,Café,Sushi Restaurant,Bagel Shop
Willowdale West,37,Korean Restaurant,Middle Eastern Restaurant,Bakery,Café,Japanese Restaurant
Lansing-Westgate,38,Korean Restaurant,Café,Middle Eastern Restaurant,Japanese Restaurant,Burger Joint
Bedford Park-Nortown,39,Italian Restaurant,Café,Bakery,Deli / Bodega,Sushi Restaurant
St.Andrew-Windfields,40,Bakery,Caribbean Restaurant,Japanese Restaurant,Café,Seafood Restaurant
Bridle Path-Sunnybrook-York Mills,41,Italian Restaurant,Café,Bakery,Sushi Restaurant,Japanese Restaurant
Banbury-Don Mills,42,Middle Eastern Restaurant,Bakery,Café,Restaurant,Japanese Restaurant
Victoria Village,43,Middle Eastern Restaurant,Restaurant,Bakery,Sandwich Place,Seafood Restaurant
Flemingdon Park,44,Café,Bakery,Middle Eastern Restaurant,Indian Restaurant,Greek Restaurant
Parkwoods-Donalda,45,Middle Eastern Restaurant,Bakery,Burger Joint,Japanese Restaurant,Italian Restaurant
Pleasant View,46,Chinese Restaurant,Bakery,Caribbean Restaurant,Italian Restaurant,Falafel Restaurant
Don Valley Village,47,Chinese Restaurant,Bakery,Caribbean Restaurant,Breakfast Spot,Falafel Restaurant
Hillcrest Village,48,Chinese Restaurant,Bakery,Japanese Restaurant,Caribbean Restaurant,Breakfast Spot
Bayview Woods-Steeles,49,Korean Restaurant,Bakery,Chinese Restaurant,Middle Eastern Restaurant,Japanese Restaurant
Newtonbrook East,50,Korean Restaurant,Middle Eastern Restaurant,Bagel Shop,Bakery,Sushi Restaurant
Willowdale East,51,Korean Restaurant,Middle Eastern Restaurant,Pizza Place,Café,Japanese Restaurant
Bayview Village,52,Korean Restaurant,Bakery,Middle Eastern Restaurant,Caribbean Restaurant,Japanese Restaurant
Henry Farm,53,Middle Eastern Restaurant,Caribbean Restaurant,Bakery,Falafel Restaurant,Breakfast Spot
O'Connor-Parkview,54,Café,Bakery,Middle Eastern Restaurant,Greek Restaurant,Gastropub
Thorncliffe Park,55,Café,Italian Restaurant,Greek Restaurant,Bakery,BBQ Joint
Leaside-Bennington,56,Italian Restaurant,Café,Bakery,Indian Restaurant,Pizza Place
Broadview North,57,Café,Greek Restaurant,Bakery,BBQ Joint,Gastropub
Old East York,58,Café,Greek Restaurant,Pizza Place,Gastropub,Indian Restaurant
Danforth East York,59,Café,Pizza Place,Greek Restaurant,Gastropub,Asian Restaurant
Woodbine-Lumsden,60,Gastropub,Café,Bakery,Pizza Place,Indian Restaurant
Taylor-Massey,61,Gastropub,Bakery,Indian Restaurant,Café,Pizza Place
East End-Danforth,62,Pizza Place,Gastropub,Breakfast Spot,Café,BBQ Joint
The Beaches,63,Café,Bakery,Breakfast Spot,Gastropub,Pizza Place
Woodbine Corridor,64,Café,Pizza Place,Gastropub,BBQ Joint,Indian Restaurant
Greenwood-Coxwell,65,Café,Pizza Place,Gastropub,Indian Restaurant,Greek Restaurant
Danforth,66,Café,Greek Restaurant,Pizza Place,Gastropub,Asian Restaurant
Playter Estates-Danforth,67,Café,Greek Restaurant,Diner,Gastropub,Pizza Place
North Riverdale,68,Café,Greek Restaurant,Pizza Place,Gastropub,Bakery
Blake-Jones,69,Café,Pizza Place,Greek Restaurant,Gastropub,Vietnamese Restaurant
South Riverdale,70,Café,Italian Restaurant,Japanese Restaurant,Pizza Place,Restaurant
Cabbagetown-South St.James Town,71,Café,Italian Restaurant,Gastropub,Japanese Restaurant,Thai Restaurant
Regent Park,72,Café,Gastropub,Japanese Restaurant,Italian Restaurant,Thai Restaurant
Moss Park,73,Café,Restaurant,Gastropub,Japanese Restaurant,Thai Restaurant
North St.James Town,74,Italian Restaurant,Café,Japanese Restaurant,Gastropub,Restaurant
Church-Yonge Corridor,75,Café,Thai Restaurant,Gastropub,Restaurant,Japanese Restaurant
Bay Street Corridor,76,Café,Restaurant,Japanese Restaurant,Gastropub,Thai Restaurant
Waterfront Communities-The Island,77,Café,Restaurant,Italian Restaurant,Pizza Place,Japanese Restaurant
Kensington-Chinatown,78,Café,Sandwich Place,Restaurant,Pizza Place,Mexican Restaurant
University,79,Café,Restaurant,Sandwich Place,Mexican Restaurant,Bakery
Palmerston-Little Italy,80,Café,Bakery,Burger Joint,Pizza Place,Restaurant
Trinity-Bellwoods,81,Café,Mexican Restaurant,Pizza Place,Sandwich Place,Restaurant
Niagara,82,Café,Italian Restaurant,Restaurant,Bakery,Sandwich Place
Dufferin Grove,83,Café,Restaurant,Italian Restaurant,Pizza Place,Asian Restaurant
Little Portugal,84,Café,Italian Restaurant,Bakery,Vietnamese Restaurant,Pizza Place
South Parkdale,85,Italian Restaurant,Café,Bakery,Restaurant,Sandwich Place
Roncesvalles,86,Café,Italian Restaurant,Vietnamese Restaurant,Restaurant,Pizza Place
High Park-Swansea,87,Café,Italian Restaurant,Pizza Place,Bakery,Gastropub
High Park North,88,Café,Italian Restaurant,Bakery,Pizza Place,Gastropub
Runnymede-Bloor West Village,89,Café,Italian Restaurant,Bakery,Gastropub,Pizza Place
Junction Area,90,Café,Italian Restaurant,Bakery,Pizza Place,Gastropub
Weston-Pellam Park,91,Café,Italian Restaurant,Bakery,BBQ Joint,Brazilian Restaurant
Corso Italia-Davenport,92,Café,Italian Restaurant,Bakery,Brazilian Restaurant,Gastropub
Dovercourt-Wallace Emerson-Junction,93,Café,Italian Restaurant,Restaurant,Asian Restaurant,Bakery
Wychwood,94,Café,Italian Restaurant,Gastropub,Mexican Restaurant,Middle Eastern Restaurant
Annex,95,Café,Gastropub,Sandwich Place,Italian Restaurant,Restaurant
Casa Loma,96,Café,Italian Restaurant,South American Restaurant,Tapas Restaurant,Restaurant
Yonge-St.Clair,97,Café,Italian Restaurant,Gastropub,Middle Eastern Restaurant,BBQ Joint
Rosedale-Moore Park,98,Café,Italian Restaurant,Gastropub,Japanese Restaurant,French Restaurant
Mount Pleasant East,99,Italian Restaurant,Café,Bakery,Deli / Bodega,Indian Restaurant
Yonge-Eglinton,100,Italian Restaurant,Café,Indian Restaurant,Sushi Restaurant,Bakery
Forest Hill South,101,Italian Restaurant,Café,Middle Eastern Restaurant,Bakery,Deli / Bodega
Forest Hill North,102,Italian Restaurant,Café,Bakery,Middle Eastern Restaurant,Japanese Restaurant
Lawrence Park South,103,Café,Italian Restaurant,Bakery,BBQ Joint,Deli / Bodega
Mount Pleasant West,104,Italian Restaurant,Café,Bakery,BBQ Joint,Indian Restaurant
Lawrence Park North,105,Café,Italian Restaurant,Bakery,Deli / Bodega,Indian Restaurant
Humewood-Cedarvale,106,Café,Italian Restaurant,BBQ Joint,Bagel Shop,Bakery
Oakwood Village,107,Café,Italian Restaurant,Middle Eastern Restaurant,Bakery,Gastropub
Briar Hill-Belgravia,108,Café,Italian Restaurant,Bakery,Gastropub,BBQ Joint
Caledonia-Fairbank,109,Café,Italian Restaurant,Bakery,Gastropub,BBQ Joint
Keelesdale-Eglinton West,110,Café,Italian Restaurant,Bakery,Restaurant,Gastropub
Rockcliffe-Smythe,111,Café,Italian Restaurant,Bakery,Pizza Place,Gastropub
Beechborough-Greenbrook,112,Italian Restaurant,Café,Bakery,Restaurant,Brazilian Restaurant
Weston,113,Bakery,Café,Vietnamese Restaurant,Burger Joint,Chinese Restaurant
Lambton Baby Point,114,Café,Italian Restaurant,Bakery,Pizza Place,Gastropub
Mount Dennis,115,Café,Italian Restaurant,Bakery,Gastropub,Vietnamese Restaurant
Steeles,116,Chinese Restaurant,Bakery,Caribbean Restaurant,Japanese Restaurant,BBQ Joint
L'Amoreaux,117,Bakery,Chinese Restaurant,Caribbean Restaurant,Noodle House,Japanese Restaurant
Tam O'Shanter-Sullivan,118,Caribbean Restaurant,Middle Eastern Restaurant,Bakery,Chinese Restaurant,Falafel Restaurant
Wexford/Maryvale,119,Middle Eastern Restaurant,Burger Joint,Chinese Restaurant,Caribbean Restaurant,Burrito Place
Clairlea-Birchmount,120,Middle Eastern Restaurant,Gastropub,Bakery,Burger Joint,Breakfast Spot
Oakridge,121,Gastropub,Middle Eastern Restaurant,Indian Restaurant,Café,Breakfast Spot
Birchcliffe-Cliffside,122,Breakfast Spot,Gastropub,Café,Bakery,Mediterranean Restaurant
Cliffcrest,123,Sandwich Place,Burger Joint,Chinese Restaurant,Pizza Place,Fried Chicken Joint
Kennedy Park,124,Middle Eastern Restaurant,Burger Joint,Bakery,Indian Restaurant,Burrito Place
Ionview,125,Middle Eastern Restaurant,Burger Joint,Indian Restaurant,Bakery,Burrito Place
Dorset Park,126,Middle Eastern Restaurant,Caribbean Restaurant,Burger Joint,Indian Restaurant,Sandwich Place
Bendale,127,Middle Eastern Restaurant,Bakery,Caribbean Restaurant,Burger Joint,Indian Restaurant
Agincourt South-Malvern West,128,Chinese Restaurant,Caribbean Restaurant,Burger Joint,Indian Restaurant,Bakery
Agincourt North,129,Chinese Restaurant,Indian Restaurant,Caribbean Restaurant,Bakery,Noodle House
Milliken,130,Chinese Restaurant,Bakery,Caribbean Restaurant,Noodle House,Indian Restaurant
Rouge,131,Pizza Place,Fast Food Restaurant,Sandwich Place,Restaurant,Burger Joint
Malvern,132,Indian Restaurant,Chinese Restaurant,Breakfast Spot,Caribbean Restaurant,Restaurant
Centennial Scarborough,133,Pizza Place,Fast Food Restaurant,Breakfast Spot,Sandwich Place,Fried Chicken Joint
Highland Creek,134,Pizza Place,Fast Food Restaurant,Sandwich Place,Breakfast Spot,Chinese Restaurant
Morningside,135,Breakfast Spot,Caribbean Restaurant,Pizza Place,Burger Joint,Restaurant
West Hill,136,Fast Food Restaurant,Sandwich Place,Pizza Place,Fried Chicken Joint,Indian Restaurant
Woburn,137,Chinese Restaurant,Restaurant,Indian Restaurant,Caribbean Restaurant,Breakfast Spot
Eglinton East,138,Middle Eastern Restaurant,Indian Restaurant,Burger Joint,Burrito Place,Chinese Restaurant
Scarborough Village,139,Sandwich Place,Pizza Place,Fast Food Restaurant,Indian Restaurant,Chinese Restaurant
Guildwood,140,Sandwich Place,Fast Food Restaurant,Pizza Place,Indian Restaurant,Fried Chicken Joint
